"index","eco","title","pgn","last_ply","sq_from","sq_to","sq_check","fen"
"3497","B40","Sicilian: Open, 2...e6, 4.Nxd4 Nf6 5.Bd3 Nc6 6.Nxc6","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6 5. Bd3 Nc6 6. Nxc6","6. Nxc6 ... ","d4","c6","","r1bqkb1r/pp1p1ppp/2N1pn2/8/4P3/3B4/PPP2PPP/RNBQK2R b KQkq - 0 6"
"3498","B40","Sicilian: Open, 2...e6, 4.Nxd4 Nf6 5.Nc3","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3","5. Nc3 ... ","b1","c3","","rnbqkb1r/pp1p1ppp/4pn2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5"
"3499","B40","Sicilian: Pin Variation, 1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Bb4","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Bb4","5.  ... Bb4","f8","b4","","rnbqk2r/pp1p1ppp/4pn2/8/1b1NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 3 6"
"3500","B40","Sicilian: Pin, Jaffe Variation, 1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Bb4 6.Bd3 e5","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Bb4 6. Bd3 e5","6.  ... e5","e6","e5","","rnbqk2r/pp1p1ppp/5n2/4p3/1b1NP3/2NB4/PPP2PPP/R1BQK2R w KQkq - 0 7"
"3501","B40","Sicilian: Pin, Koch Variation, 1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Bb4 6.e5","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Bb4 6. e5","6. e5 ... ","e4","e5","","rnbqk2r/pp1p1ppp/4pn2/4P3/1b1N4/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 6"
"3502","B40","Sicilian: Alapin, 2...e6 3.Nf3 d5","1. e4 c5 2. c3 e6 3. Nf3 d5","3.  ... d5","d7","d5","","rnbqkbnr/pp3ppp/4p3/2pp4/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq - 0 4"
"3503","B41","Sicilian: Kan (Paulsen) Variation, 1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6","4.  ... a6","a7","a6","","rnbqkbnr/1p1p1ppp/p3p3/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5"
"3504","B41","Sicilian: Kan, 5.g3","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. g3","5. g3 ... ","g2","g3","","rnbqkbnr/1p1p1ppp/p3p3/8/3NP3/6P1/PPP2P1P/RNBQKB1R b KQkq - 0 5"
"3505","B41","Sicilian: Kan, 5.Be3","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Be3","5. Be3 ... ","c1","e3","","rnbqkbnr/1p1p1ppp/p3p3/8/3NP3/4B3/PPP2PPP/RN1QKB1R b KQkq - 1 5"
"3506","B41","Sicilian: Kan, 5.Be2","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Be2","5. Be2 ... ","f1","e2","","rnbqkbnr/1p1p1ppp/p3p3/8/3NP3/8/PPP1BPPP/RNBQK2R b KQkq - 1 5"
"3507","B41","Sicilian: Kan, 5.Be2 Nf6","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Be2 Nf6","5.  ... Nf6","g8","f6","","rnbqkb1r/1p1p1ppp/p3pn2/8/3NP3/8/PPP1BPPP/RNBQK2R w KQkq - 2 6"
"3508","B41","Sicilian: Kan, 5.c4","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. c4","5. c4 ... ","c2","c4","","rnbqkbnr/1p1p1ppp/p3p3/8/2PNP3/8/PP3PPP/RNBQKB1R b KQkq - 0 5"
