"index","eco","title","pgn","last_ply","sq_from","sq_to","sq_check","fen"
"1131","C45","Scotch: Berger Variation","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Qh4 5. Nb5 Bb4+ 6. Nd2 Qxe4+ 7. Be2 Qxg2 8. Bf3 Qh3 9. Nxc7+ Kd8 10. Nxa8 Nf6 11. a3","11. a3 ... ","a2","a3","","N1bk3r/pp1p1ppp/2n2n2/8/1b6/P4B1q/1PPN1P1P/R1BQK2R b KQ - 0 11"
"1132","C45","Scotch game","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Qh4 5. Nb5 Bb4+ 6. Bd2","6. Bd2 ... ","c1","d2","","r1b1k1nr/pppp1ppp/2n5/1N6/1b2P2q/8/PPPB1PPP/RN1QKB1R b KQkq - 4 6"
"1133","C45","Scotch: Rosenthal Variation","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Qh4 5. Nb5 Bb4+ 6. Bd2 Qxe4+ 7. Be2 Kd8 8. O-O Bxd2 9. Nxd2 Qg6","9.  ... Qg6","e4","g6","","r1bk2nr/pppp1ppp/2n3q1/1N6/8/8/PPPNBPPP/R2Q1RK1 w - - 1 10"
"1134","C45","Scotch: Fraser attack","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Qh4 5. Nf3","5. Nf3 ... ","d4","f3","","r1b1kbnr/pppp1ppp/2n5/8/4P2q/5N2/PPP2PPP/RNBQKB1R b KQkq - 2 5"
"1135","C45","Scotch: Steinitz Variation","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Qh4 5. Nc3","5. Nc3 ... ","b1","c3","","r1b1kbnr/pppp1ppp/2n5/8/3NP2q/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5"
"1136","C45","Scotch: Schmidt Variation","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nf6","4.  ... Nf6","g8","f6","","r1bqkb1r/pppp1ppp/2n2n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5"
"1137","C45","Scotch: Mieses Variation","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nf6 5. Nxc6 bxc6 6. e5","6. e5 ... ","e4","e5","","r1bqkb1r/p1pp1ppp/2p2n2/4P3/8/8/PPP2PPP/RNBQKB1R b KQkq - 0 6"
"1138","C45","Scotch: Tartakower Variation","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nf6 5. Nxc6 bxc6 6. Nd2","6. Nd2 ... ","b1","d2","","r1bqkb1r/p1pp1ppp/2p2n2/8/4P3/8/PPPN1PPP/R1BQKB1R b KQkq - 1 6"
"1139","C45","Scotch game","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5","4.  ... Bc5","f8","c5","","r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5"
"1140","C45","Scotch: Blackburne attack","1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3 Nge7 7. Qd2","7. Qd2 ... ","d1","d2","","r1b1k2r/ppppnppp/2n2q2/2b5/3NP3/2P1B3/PP1Q1PPP/RN2KB1R b KQkq - 2 7"
